State,Year,Corrections -  General Fund,Corrections -  Federal Funds,Corrections -  Other State Funds,Corrections -  Bond Funds,Corrections -  Total Funds,Total All Spending - General Fund,Total All Spending - Federal Funds,Total All Spending - Other State Funds,Total All Spending - Bond Funds,Total All Spending - Total Funds,General Fund - % Corrections,Federal Funds - % Corrections,Other State Funds - % Corrections,Bond Funds - % Corrections,Total Funds - % Corrections
California,2008,"$9,654.0M",$127.0M,$20.0M,$1.0M,"$9,802.0M","$102,986.0M","$56,211.0M","$26,674.0M","$8,405.0M","$194,276.0M",9.4%,0.2%,0.1%,0.0%,5.0%
California,2009,"$9,541.0M",$144.0M,$25.0M,$0.0M,"$9,710.0M","$90,940.0M","$73,090.0M","$23,844.0M","$7,602.0M","$195,476.0M",10.5%,0.2%,0.1%,0.0%,5.0%
California,2010,"$7,905.0M",$124.0M,$46.0M,$1.0M,"$8,076.0M","$87,237.0M","$89,088.0M","$23,514.0M","$6,250.0M","$206,089.0M",9.1%,0.1%,0.2%,0.0%,3.9%
California,2011,"$9,286.0M",$83.0M,$46.0M,$0.0M,"$9,415.0M","$91,549.0M","$84,764.0M","$33,432.0M","$6,000.0M","$215,745.0M",10.1%,0.1%,0.1%,0.0%,4.4%
California,2012,"$7,723.0M",$79.0M,"$2,874.0M",$0.0M,"$10,676.0M","$86,404.6M","$73,062.7M","$33,853.0M","$6,104.0M","$199,424.3M",8.9%,0.1%,8.5%,0.0%,5.4%
California,2013,"$8,490.0M",$77.0M,"$2,088.0M",$1.0M,"$10,656.0M","$96,562.0M","$70,431.0M","$37,724.0M","$6,715.0M","$211,432.0M",8.8%,0.1%,5.5%,0.0%,5.0%
California,2014,"$9,180.0M",$88.0M,"$2,173.0M",$2.0M,"$11,443.0M","$100,005.0M","$72,583.0M","$38,311.0M","$4,494.0M","$215,393.0M",9.2%,0.1%,5.7%,0.0%,5.3%
California,2015,"$9,926.0M",$61.0M,"$2,402.0M",$0.0M,"$12,389.0M","$113,448.0M","$90,049.0M","$41,702.0M","$5,145.0M","$250,344.0M",8.7%,0.1%,5.8%,0.0%,4.9%
California,2016,"$10,063.8M",$79.9M,"$2,552.5M",$0.0M,"$12,696.2M","$114,465.0M","$90,690.0M","$42,100.0M","$3,644.0M","$250,899.0M",8.8%,0.1%,6.1%,0.0%,5.1%
California,2017,"$10,772.1M",$92.7M,"$2,635.3M",$0.0M,"$13,500.1M","$119,290.6M","$95,336.9M","$44,249.5M","$2,340.0M","$261,217.0M",9.0%,0.1%,6.0%,0.0%,5.2%
California,2018,"$11,595.5M",$61.7M,"$2,709.1M",$0.0M,"$14,366.3M","$124,755.5M","$92,352.0M","$49,654.9M","$2,905.0M","$269,667.4M",9.3%,0.1%,5.5%,0.0%,5.3%
California,2019,"$12,553.1M",$100.0M,"$2,851.1M",$0.0M,"$15,504.3M","$142,693.3M","$100,006.9M","$61,225.6M","$7,399.0M","$311,324.9M",8.8%,0.1%,4.7%,0.0%,5.0%
Colorado,1991,$213.7M,$0.5M,$17.9M,$0.0M,$232.1M,"$2,717.8M","$1,331.8M","$1,327.0M",$0.0M,"$5,376.6M",7.9%,0.0%,1.3%,,4.3%
Colorado,1992,$202.2M,$1.4M,$18.4M,$0.0M,$222.0M,"$2,874.5M","$1,604.1M","$1,600.5M",$0.0M,"$6,079.1M",7.0%,0.1%,1.1%,,3.7%
Colorado,1993,$196.0M,$1.4M,$25.5M,$0.0M,$222.9M,"$3,146.2M","$1,742.0M","$1,845.7M",$0.0M,"$6,733.9M",6.2%,0.1%,1.4%,,3.3%
Colorado,1994,$373.0M,$2.8M,$40.8M,$0.0M,$416.6M,"$3,557.8M","$1,657.2M","$2,164.1M",$0.0M,"$7,379.1M",10.5%,0.2%,1.9%,,5.6%
Colorado,1995,$289.5M,$0.6M,$29.2M,$0.0M,$319.3M,"$3,834.5M","$1,771.8M","$2,513.7M",$0.0M,"$8,120.0M",7.5%,0.0%,1.2%,,3.9%
Colorado,1996,$365.1M,$13.2M,$32.0M,$0.0M,$410.3M,"$4,407.6M","$2,000.4M","$2,560.3M",$0.0M,"$8,968.3M",8.3%,0.7%,1.2%,,4.6%
Colorado,1997,$291.9M,$5.0M,$30.9M,$0.0M,$327.8M,"$4,567.0M","$2,761.0M","$1,896.0M",$0.0M,"$9,224.0M",6.4%,0.2%,1.6%,,3.6%
Colorado,1998,$140.3M,$0.0M,$2.3M,$0.0M,$142.6M,"$3,425.8M","$1,519.0M","$1,087.8M",$0.0M,"$6,032.6M",4.1%,0.0%,0.2%,,2.4%
Colorado,1999,$339.1M,$6.6M,$179.7M,$0.0M,$525.4M,"$4,680.8M","$2,789.6M","$4,034.0M",$0.0M,"$11,504.4M",7.2%,0.2%,4.5%,,4.6%
Colorado,2000,$389.0M,$6.0M,$42.0M,$0.0M,$437.0M,"$5,292.0M","$2,470.0M","$3,366.0M",$535.0M,"$11,663.0M",7.4%,0.2%,1.2%,0.0%,3.7%
Colorado,2001,$435.0M,$5.0M,$52.0M,$0.0M,$492.0M,"$5,641.4M","$2,600.6M","$4,344.5M",$161.0M,"$12,747.5M",7.7%,0.2%,1.2%,0.0%,3.9%
Colorado,2002,$449.0M,$9.0M,$49.0M,$0.0M,$507.0M,"$5,614.0M","$2,721.0M","$4,070.0M",$342.0M,"$12,747.0M",8.0%,0.3%,1.2%,0.0%,4.0%
Colorado,2003,$455.0M,$5.0M,$65.0M,$0.0M,$525.0M,"$5,483.0M","$3,018.0M","$4,824.0M",$301.0M,"$13,626.0M",8.3%,0.2%,1.3%,0.0%,3.9%
Colorado,2004,$471.0M,$3.8M,$63.6M,$0.0M,$538.4M,"$5,599.0M","$3,222.0M","$4,757.0M",$60.0M,"$13,638.0M",8.4%,0.1%,1.3%,0.0%,3.9%
Colorado,2005,$495.0M,$3.0M,$44.0M,$0.0M,$542.0M,"$5,805.0M","$3,269.0M","$4,922.0M",$222.0M,"$14,218.0M",8.5%,0.1%,0.9%,0.0%,3.8%
Colorado,2006,$533.0M,$3.0M,$45.1M,$0.0M,$581.1M,"$6,291.0M","$3,571.0M","$5,771.1M",$0.0M,"$15,633.1M",8.5%,0.1%,0.8%,,3.7%
Colorado,2007,$577.5M,$4.9M,$77.5M,$0.0M,$659.9M,"$7,544.3M","$4,385.9M","$11,867.1M",$0.0M,"$23,797.3M",7.7%,0.1%,0.7%,,2.8%
Colorado,2008,$641.9M,$4.9M,$105.7M,$0.0M,$752.5M,"$7,907.6M","$4,738.7M","$12,481.6M",$0.0M,"$25,128.0M",8.1%,0.1%,0.8%,,3.0%
Colorado,2009,$663.1M,$31.7M,$157.9M,$0.0M,$852.6M,"$7,721.7M","$6,446.8M","$14,637.2M",$0.0M,"$28,805.6M",8.6%,0.5%,1.1%,,3.0%
Colorado,2010,$584.3M,$92.4M,$130.9M,$0.0M,$807.6M,"$7,326.2M","$9,223.2M","$14,515.2M",$0.0M,"$31,064.5M",8.0%,1.0%,0.9%,,2.6%
Colorado,2011,$665.4M,$3.5M,$93.4M,$0.0M,$762.3M,"$7,278.1M","$8,892.7M","$14,746.5M",$0.0M,"$30,917.3M",9.1%,0.0%,0.6%,,2.5%
Colorado,2012,$668.5M,$7.4M,$97.9M,$0.0M,$773.7M,"$7,310.8M","$7,691.2M","$13,774.8M",$0.0M,"$28,776.8M",9.1%,0.1%,0.7%,,2.7%
Colorado,2013,$670.0M,$5.0M,$88.0M,$0.0M,$763.0M,"$9,024.0M","$7,423.0M","$13,664.0M",$0.0M,"$30,111.0M",7.4%,0.1%,0.6%,,2.5%
Colorado,2014,$696.0M,$5.0M,$199.0M,$0.0M,$900.0M,"$9,048.0M","$7,859.0M","$14,439.0M",$0.0M,"$31,346.0M",7.7%,0.1%,1.4%,,2.9%
Colorado,2015,$743.0M,$3.0M,$89.0M,$0.0M,$835.0M,"$9,553.0M","$8,761.0M","$16,125.0M",$0.0M,"$34,439.0M",7.8%,0.0%,0.6%,,2.4%
Colorado,2016,$729.0M,$4.0M,$95.0M,$0.0M,$828.0M,"$10,426.0M","$9,484.0M","$16,784.0M",$0.0M,"$36,694.0M",7.0%,0.0%,0.6%,,2.3%
Colorado,2017,$764.0M,$6.0M,$91.0M,$0.0M,$861.0M,"$10,512.3M","$9,367.1M","$16,931.4M",$0.0M,"$36,810.8M",7.3%,0.1%,0.5%,,2.3%
Colorado,2018,$788.0M,$5.0M,$115.0M,$0.0M,$908.0M,"$11,307.8M","$9,928.3M","$18,578.3M",$0.0M,"$39,814.4M",7.0%,0.1%,0.6%,,2.3%
Colorado,2019,$836.0M,$5.0M,$101.0M,$0.0M,$942.0M,"$12,533.3M","$9,781.3M","$19,323.6M",$0.0M,"$41,638.2M",6.7%,0.1%,0.5%,,2.3%
Connecticut,1991,$236.3M,$2.9M,$0.0M,$114.7M,$353.9M,"$5,677.4M","$1,421.3M","$1,160.1M",$632.0M,"$8,890.8M",4.2%,0.2%,0.0%,18.1%,4.0%
Connecticut,1992,$247.5M,$3.1M,$0.0M,$134.2M,$384.8M,"$7,254.8M","$1,350.2M","$1,577.2M","$1,046.3M","$11,228.5M",3.4%,0.2%,0.0%,12.8%,3.4%
Connecticut,1993,$285.8M,$2.3M,$0.0M,$69.5M,$357.6M,"$7,335.7M","$1,874.1M","$1,498.8M",$852.8M,"$11,561.4M",3.9%,0.1%,0.0%,8.1%,3.1%
Connecticut,1994,$346.0M,$1.3M,$0.0M,$42.1M,$389.4M,"$7,904.2M","$2,102.1M","$1,468.4M",$758.4M,"$12,233.1M",4.4%,0.1%,0.0%,5.6%,3.2%
Connecticut,1995,$376.3M,$2.7M,$0.5M,$20.0M,$399.5M,"$8,616.9M","$2,163.9M","$1,516.3M","$1,002.4M","$13,299.5M",4.4%,0.1%,0.0%,2.0%,3.0%
Connecticut,1996,$372.7M,$3.3M,$1.0M,$22.7M,$399.7M,"$8,616.9M","$2,631.3M","$1,431.0M","$1,036.2M","$13,715.4M",4.3%,0.1%,0.1%,2.2%,2.9%
Connecticut,1997,$401.2M,$2.7M,$1.0M,$14.2M,$419.1M,"$9,200.0M","$2,363.5M","$1,783.1M","$1,035.4M","$14,382.0M",4.4%,0.1%,0.1%,1.4%,2.9%
Connecticut,1998,$392.0M,$2.3M,$0.0M,$0.9M,$395.2M,"$9,649.8M","$1,258.9M","$2,046.5M",$986.7M,"$13,941.9M",4.1%,0.2%,0.0%,0.1%,2.8%
Connecticut,1999,$414.8M,$2.9M,$0.3M,$1.2M,$419.2M,"$10,250.8M","$2,839.2M","$1,525.4M","$1,144.7M","$15,760.1M",4.0%,0.1%,0.0%,0.1%,2.7%
Connecticut,2000,$499.0M,$4.0M,$1.0M,$10.0M,$514.0M,"$11,201.0M","$3,061.0M","$2,606.0M","$1,294.0M","$18,162.0M",4.5%,0.1%,0.0%,0.8%,2.8%
Connecticut,2001,$522.0M,$2.0M,$0.0M,$19.0M,$543.0M,"$11,883.0M","$3,338.0M","$2,861.0M","$1,196.0M","$19,278.0M",4.4%,0.1%,0.0%,1.6%,2.8%
Connecticut,2002,$548.0M,$3.0M,$1.0M,$35.0M,$587.0M,"$12,187.0M","$3,326.3M","$3,100.9M","$1,714.1M","$20,328.3M",4.5%,0.1%,0.0%,2.0%,2.9%
Connecticut,2003,$566.0M,$3.0M,$3.0M,$28.0M,$600.0M,"$12,092.0M","$3,344.0M","$2,899.0M","$1,631.0M","$19,966.0M",4.7%,0.1%,0.1%,1.7%,3.0%
Connecticut,2004,$587.0M,$3.0M,$2.0M,$2.0M,$594.0M,"$12,547.0M","$1,982.0M","$3,194.0M","$1,741.0M","$19,464.0M",4.7%,0.2%,0.1%,0.1%,3.1%
Connecticut,2005,$599.0M,$2.0M,$0.0M,$5.0M,$606.0M,"$13,334.0M","$1,124.0M","$4,749.0M","$1,443.0M","$20,650.0M",4.5%,0.2%,0.0%,0.3%,2.9%
Connecticut,2006,$624.0M,$4.0M,$1.0M,$4.0M,$633.0M,"$14,502.0M","$1,189.0M","$3,182.0M","$1,609.0M","$20,482.0M",4.3%,0.3%,0.0%,0.2%,3.1%
Connecticut,2007,$631.0M,$3.0M,$0.0M,$13.0M,$647.0M,"$15,294.0M","$1,540.0M","$3,972.0M","$2,088.0M","$22,894.0M",4.1%,0.2%,0.0%,0.6%,2.8%
Connecticut,2008,$697.4M,$2.8M,$0.0M,$3.0M,$703.2M,"$16,627.4M","$2,117.0M","$3,494.4M","$2,032.0M","$24,270.8M",4.2%,0.1%,0.0%,0.1%,2.9%
Connecticut,2009,$710.1M,$1.0M,$0.0M,$24.0M,$735.1M,"$11,496.1M","$1,859.9M","$4,090.0M","$1,852.0M","$19,298.0M",6.2%,0.1%,0.0%,1.3%,3.8%
Connecticut,2010,$663.0M,$5.0M,$0.3M,$1.0M,$669.3M,"$17,241.0M","$2,482.4M","$2,817.3M","$1,819.0M","$24,359.7M",3.8%,0.2%,0.0%,0.1%,2.7%
Connecticut,2011,$676.0M,$4.0M,$0.0M,$17.0M,$697.0M,"$17,845.2M","$2,701.0M","$3,224.0M","$2,404.3M","$26,174.5M",3.8%,0.1%,0.0%,0.7%,2.7%
Connecticut,2012,$671.0M,$4.0M,$0.0M,$19.0M,$694.0M,"$18,782.0M","$2,631.0M","$3,439.0M","$2,655.9M","$27,507.9M",3.6%,0.2%,0.0%,0.7%,2.5%
Connecticut,2013,$708.0M,$4.0M,$0.0M,$5.0M,$717.0M,"$19,026.0M","$2,595.0M","$3,764.0M","$2,383.9M","$27,768.9M",3.7%,0.2%,0.0%,0.2%,2.6%
Connecticut,2014,$679.0M,$4.0M,$25.0M,$4.1M,$712.1M,"$16,980.0M","$5,332.0M","$2,928.5M","$2,900.0M","$28,140.5M",4.0%,0.1%,0.9%,0.1%,2.5%
Connecticut,2015,$715.0M,$4.0M,$25.0M,$26.0M,$770.0M,"$17,419.0M","$5,919.0M","$3,900.7M","$2,976.0M","$30,214.7M",4.1%,0.1%,0.6%,0.9%,2.5%
Connecticut,2016,$667.0M,$3.0M,$25.0M,$6.0M,$701.0M,"$17,921.0M","$6,216.0M","$4,042.8M","$3,692.0M","$31,871.8M",3.7%,0.0%,0.6%,0.2%,2.2%
Connecticut,2017,$608.0M,$3.0M,$25.0M,$21.0M,$657.0M,"$17,762.9M","$6,253.3M","$5,404.6M","$2,954.0M","$32,374.8M",3.4%,0.0%,0.5%,0.7%,2.0%
Connecticut,2018,$604.0M,$3.0M,$23.0M,$7.0M,$637.0M,"$18,610.7M","$6,140.8M","$5,486.7M","$2,913.0M","$33,151.2M",3.2%,0.0%,0.4%,0.2%,1.9%
Connecticut,2019,$632.0M,$4.0M,$24.0M,$61.0M,$721.0M,"$19,243.6M","$6,317.9M","$5,672.0M","$2,827.0M","$34,060.5M",3.3%,0.1%,0.4%,2.2%,2.1%
Delaware,1991,$70.3M,$0.1M,$1.3M,$11.0M,$82.7M,"$1,213.4M",$357.3M,$576.4M,$249.4M,"$2,396.5M",5.8%,0.0%,0.2%,4.4%,3.5%
Delaware,1992,$76.6M,$0.3M,$1.4M,$35.1M,$113.4M,"$1,229.8M",$342.6M,$773.2M,$271.8M,"$2,617.4M",6.2%,0.1%,0.2%,12.9%,4.3%
Delaware,1993,$80.8M,$0.1M,$1.2M,$11.7M,$93.8M,"$1,260.3M",$499.7M,$877.1M,$190.5M,"$2,827.6M",6.4%,0.0%,0.1%,6.1%,3.3%
Delaware,1994,$84.8M,$0.4M,$1.1M,$0.6M,$86.9M,"$1,345.3M",$468.2M,"$1,047.6M",$159.7M,"$3,020.8M",6.3%,0.1%,0.1%,0.4%,2.9%
Delaware,1995,$96.7M,$0.6M,$4.5M,$0.1M,$101.9M,"$1,541.0M",$505.8M,"$1,139.1M",$145.2M,"$3,331.1M",6.3%,0.1%,0.4%,0.1%,3.1%
Delaware,1996,$98.8M,$0.7M,$1.3M,$0.1M,$100.9M,"$1,651.0M",$565.2M,"$1,366.9M",$159.8M,"$3,742.9M",6.0%,0.1%,0.1%,0.1%,2.7%
Delaware,1997,$108.6M,$0.5M,$2.5M,$20.4M,$132.0M,"$1,765.7M",$600.9M,"$1,531.8M",$150.4M,"$4,048.8M",6.2%,0.1%,0.2%,13.6%,3.3%
Delaware,1998,$120.4M,$8.1M,$2.2M,$19.7M,$150.4M,"$1,900.0M",$539.5M,"$1,703.7M",$92.7M,"$4,235.9M",6.3%,1.5%,0.1%,21.3%,3.6%
Delaware,1999,$142.0M,$5.8M,$1.7M,$29.7M,$179.2M,"$2,152.5M",$682.0M,"$1,732.7M",$133.4M,"$4,700.6M",6.6%,0.9%,0.1%,22.3%,3.8%
Delaware,2000,$169.0M,$5.7M,$1.7M,$23.6M,$200.0M,"$2,245.8M",$748.7M,"$1,849.1M",$170.9M,"$5,014.5M",7.5%,0.8%,0.1%,13.8%,4.0%
Delaware,2001,$189.0M,$5.0M,$2.0M,$7.0M,$203.0M,"$2,429.0M",$810.0M,"$2,077.0M",$100.0M,"$5,416.0M",7.8%,0.6%,0.1%,7.0%,3.7%
Delaware,2002,$179.0M,$5.0M,$2.0M,$6.0M,$192.0M,"$2,454.0M",$867.0M,"$2,111.0M",$252.0M,"$5,684.0M",7.3%,0.6%,0.1%,2.4%,3.4%
Delaware,2003,$186.0M,$2.0M,$3.0M,$0.0M,$191.0M,"$2,454.0M",$945.0M,$653.3M,$486.0M,"$4,538.3M",7.6%,0.2%,0.5%,0.0%,4.2%
Delaware,2004,$190.0M,$1.0M,$3.0M,$0.0M,$194.0M,"$2,479.0M","$1,137.0M",$965.0M,$183.0M,"$4,764.0M",7.7%,0.1%,0.3%,0.0%,4.1%
Delaware,2005,$202.0M,$1.0M,$3.0M,$0.0M,$206.0M,"$2,822.0M",$975.0M,"$1,101.0M",$169.0M,"$5,067.0M",7.2%,0.1%,0.3%,0.0%,4.1%
Delaware,2006,$227.0M,$1.0M,$5.0M,$0.0M,$233.0M,"$3,193.0M","$1,029.0M","$3,121.0M",$222.0M,"$7,565.0M",7.1%,0.1%,0.2%,0.0%,3.1%
Delaware,2007,$252.0M,$1.0M,$5.0M,$0.0M,$258.0M,"$3,390.0M","$1,055.0M","$3,132.0M",$222.0M,"$7,799.0M",7.4%,0.1%,0.2%,0.0%,3.3%
Delaware,2008,$263.0M,$1.0M,$5.0M,$0.0M,$269.0M,"$3,422.0M","$1,113.0M","$3,811.0M",$275.0M,"$8,621.0M",7.7%,0.1%,0.1%,0.0%,3.1%
Delaware,2009,$257.0M,$1.0M,$5.0M,$0.0M,$263.0M,"$3,296.0M","$1,256.0M","$3,908.0M",$281.0M,"$8,741.0M",7.8%,0.1%,0.1%,0.0%,3.0%
Delaware,2010,$238.0M,$9.0M,$5.0M,$0.0M,$252.0M,"$3,077.0M","$1,607.0M","$3,783.0M",$253.0M,"$8,720.0M",7.7%,0.6%,0.1%,0.0%,2.9%
Delaware,2011,$245.0M,$1.0M,$6.0M,$0.0M,$252.0M,"$3,271.0M","$1,849.0M","$3,089.0M",$203.0M,"$8,412.0M",7.5%,0.1%,0.2%,0.0%,3.0%
Delaware,2012,$262.0M,$1.0M,$6.0M,$0.0M,$269.0M,"$3,592.0M","$1,777.0M","$3,388.0M",$185.0M,"$8,942.0M",7.3%,0.1%,0.2%,0.0%,3.0%
Delaware,2013,$265.0M,$1.0M,$5.0M,$1.0M,$272.0M,"$3,659.0M","$1,783.0M","$3,281.0M",$439.0M,"$9,162.0M",7.2%,0.1%,0.2%,0.2%,3.0%
Delaware,2014,$273.0M,$1.0M,$5.0M,$3.0M,$282.0M,"$3,794.0M","$1,903.0M","$3,459.0M",$452.0M,"$9,608.0M",7.2%,0.1%,0.1%,0.7%,2.9%
Delaware,2015,$283.0M,$0.0M,$5.0M,$3.0M,$291.0M,"$3,832.0M","$2,063.0M","$3,523.0M",$351.0M,"$9,769.0M",7.4%,0.0%,0.1%,0.9%,3.0%
Delaware,2016,$290.0M,$1.0M,$5.0M,$3.0M,$299.0M,"$3,914.0M","$2,151.0M","$3,694.0M",$477.0M,"$10,236.0M",7.4%,0.0%,0.1%,0.6%,2.9%
Delaware,2017,$305.0M,$0.0M,$5.0M,$4.0M,$314.0M,"$4,106.0M","$2,171.0M","$4,000.0M",$398.0M,"$10,675.0M",7.4%,0.0%,0.1%,1.0%,2.9%
Delaware,2018,$320.0M,$0.0M,$5.0M,$6.0M,$331.0M,"$4,118.0M","$2,492.0M","$3,990.0M",$246.7M,"$10,846.7M",7.8%,0.0%,0.1%,2.4%,3.1%
Delaware,2019,$352.0M,$0.5M,$5.0M,$4.0M,$361.5M,"$4,394.4M","$2,402.5M","$4,231.0M",$297.0M,"$11,324.9M",8.0%,0.0%,0.1%,1.3%,3.2%
Florida,1991,$920.0M,$9.6M,$32.1M,$0.0M,$961.7M,"$10,782.2M","$4,717.3M","$11,104.8M",$370.3M,"$26,974.6M",8.5%,0.2%,0.3%,0.0%,3.6%
Florida,1992,$876.1M,$9.2M,$24.9M,$0.0M,$910.2M,"$11,036.7M","$5,727.8M","$12,157.6M","$1,517.1M","$30,439.2M",7.9%,0.2%,0.2%,0.0%,3.0%
Florida,1993,$916.4M,$9.3M,$24.3M,$0.0M,$950.0M,"$11,744.1M","$7,243.1M","$14,414.3M",$879.2M,"$34,280.7M",7.8%,0.1%,0.2%,0.0%,2.8%
Florida,1994,"$1,119.5M",$16.3M,$36.4M,$0.0M,"$1,172.2M","$13,140.0M","$7,004.8M","$14,925.8M","$1,678.4M","$36,749.0M",8.5%,0.2%,0.2%,0.0%,3.2%
Florida,1995,"$1,397.9M",$2.0M,$72.0M,$0.0M,"$1,471.9M","$13,948.6M","$8,417.1M","$13,541.1M","$1,652.1M","$37,558.9M",10.0%,0.0%,0.5%,0.0%,3.9%
Florida,1996,"$1,376.8M",$5.6M,$47.8M,$0.0M,"$1,430.2M","$14,460.7M","$8,635.9M","$13,362.3M","$1,672.4M","$38,131.3M",9.5%,0.1%,0.4%,0.0%,3.8%
Florida,1997,"$1,384.3M",$34.1M,$23.7M,$0.0M,"$1,442.1M","$15,202.6M","$8,552.9M","$13,546.8M","$1,761.9M","$39,064.2M",9.1%,0.4%,0.2%,0.0%,3.7%
Florida,1998,"$1,455.3M",$67.2M,$63.3M,$0.0M,"$1,585.8M","$16,960.0M","$8,810.2M","$14,667.5M","$2,279.0M","$42,716.7M",8.6%,0.8%,0.4%,0.0%,3.7%
Florida,1999,"$1,554.3M",$54.1M,$45.1M,$0.0M,"$1,653.5M","$17,627.2M","$9,297.5M","$16,438.4M","$2,191.8M","$45,554.9M",8.8%,0.6%,0.3%,0.0%,3.6%
Florida,2000,"$1,554.0M",$27.0M,$65.0M,$0.0M,"$1,646.0M","$18,406.0M","$10,701.0M","$16,623.0M","$1,787.0M","$47,517.0M",8.4%,0.3%,0.4%,0.0%,3.5%
Florida,2001,"$1,564.0M",$38.0M,$73.0M,$0.0M,"$1,675.0M","$19,779.0M","$13,351.0M","$18,312.0M","$1,064.0M","$52,506.0M",7.9%,0.3%,0.4%,0.0%,3.2%
Florida,2002,"$1,562.0M",$84.0M,$17.0M,$0.0M,"$1,663.0M","$19,007.0M","$14,315.0M","$12,193.0M","$1,437.0M","$46,952.0M",8.2%,0.6%,0.1%,0.0%,3.5%
Florida,2003,"$1,614.0M",$15.0M,$121.0M,$0.0M,"$1,750.0M","$20,257.0M","$13,997.0M","$13,115.0M","$1,197.0M","$48,566.0M",8.0%,0.1%,0.9%,0.0%,3.6%
Florida,2004,"$1,792.0M",$78.0M,$37.0M,$0.0M,"$1,907.0M","$21,118.0M","$15,366.0M","$13,400.0M","$1,954.0M","$51,838.0M",8.5%,0.5%,0.3%,0.0%,3.7%
Florida,2005,"$2,440.0M",$93.0M,$34.0M,$0.0M,"$2,567.0M","$24,180.0M","$19,130.0M","$13,640.0M","$1,382.0M","$58,332.0M",10.1%,0.5%,0.2%,0.0%,4.4%
Florida,2006,"$2,425.0M",$91.0M,$124.0M,$0.0M,"$2,640.0M","$25,904.0M","$18,750.0M","$15,274.0M","$1,651.0M","$61,579.0M",9.4%,0.5%,0.8%,0.0%,4.3%
Florida,2007,"$2,707.0M",$79.0M,$127.0M,$0.0M,"$2,913.0M","$27,680.0M","$18,886.0M","$16,227.0M","$3,319.0M","$66,112.0M",9.8%,0.4%,0.8%,0.0%,4.4%
Florida,2008,"$2,825.0M",$86.0M,$137.0M,$0.0M,"$3,048.0M","$27,513.0M","$18,754.0M","$14,916.0M","$3,196.0M","$64,379.0M",10.3%,0.5%,0.9%,0.0%,4.7%
Florida,2009,"$2,730.0M",$82.0M,$128.0M,$30.4M,"$2,970.4M","$23,662.0M","$19,724.6M","$15,244.8M","$2,042.1M","$60,673.5M",11.5%,0.4%,0.8%,1.5%,4.9%
Florida,2010,"$2,652.0M",$84.0M,$215.0M,$182.0M,"$3,133.0M","$21,216.0M","$28,958.0M","$10,612.0M","$1,264.0M","$62,050.0M",12.5%,0.3%,2.0%,14.4%,5.0%
Florida,2011,"$2,638.0M",$87.0M,$138.0M,$85.0M,"$2,948.0M","$23,777.0M","$29,403.0M","$9,481.0M","$2,800.0M","$65,461.0M",11.1%,0.3%,1.5%,3.0%,4.5%
Florida,2012,"$2,375.0M",$77.0M,$118.0M,$60.0M,"$2,630.0M","$23,054.0M","$24,570.0M","$13,971.0M","$1,395.0M","$62,990.0M",10.3%,0.3%,0.8%,4.3%,4.2%
Florida,2013,"$2,288.0M",$70.0M,$113.0M,$18.0M,"$2,489.0M","$24,490.0M","$24,160.0M","$13,439.0M","$1,882.0M","$63,971.0M",9.3%,0.3%,0.8%,1.0%,3.9%
Florida,2014,"$2,440.0M",$64.0M,$81.0M,$0.0M,"$2,585.0M","$26,315.0M","$24,354.0M","$15,801.0M","$1,563.0M","$68,033.0M",9.3%,0.3%,0.5%,0.0%,3.8%
Florida,2015,"$2,517.0M",$58.0M,$99.0M,$0.0M,"$2,674.0M","$27,600.0M","$23,888.0M","$17,894.0M","$1,661.0M","$71,043.0M",9.1%,0.2%,0.6%,0.0%,3.8%
Florida,2016,"$2,553.0M",$56.0M,$111.0M,$0.0M,"$2,720.0M","$28,813.0M","$25,254.0M","$16,598.0M","$1,654.0M","$72,319.0M",8.9%,0.2%,0.7%,0.0%,3.8%
Florida,2017,"$2,622.0M",$59.0M,$115.0M,$0.0M,"$2,796.0M","$30,267.0M","$26,317.0M","$18,129.0M","$1,667.0M","$76,380.0M",8.7%,0.2%,0.6%,0.0%,3.7%
Florida,2018,"$2,791.0M",$61.0M,$104.0M,$0.0M,"$2,956.0M","$31,658.0M","$27,401.0M","$17,902.0M","$1,562.0M","$78,523.0M",8.8%,0.2%,0.6%,0.0%,3.8%
Florida,2019,"$2,836.0M",$106.0M,$157.0M,$0.0M,"$3,099.0M","$32,849.0M","$29,809.0M","$25,004.0M","$1,652.0M","$89,314.0M",8.6%,0.4%,0.6%,0.0%,3.5%
Georgia,1991,$463.2M,$1.3M,$13.2M,$28.8M,$506.5M,"$7,373.5M","$2,963.5M","$2,023.9M",$384.6M,"$12,745.5M",6.3%,0.0%,0.7%,7.5%,4.0%
Georgia,1992,$468.9M,$0.9M,$13.1M,$9.8M,$492.7M,"$7,354.0M","$3,692.7M","$1,916.5M",$790.9M,"$13,754.1M",6.4%,0.0%,0.7%,1.2%,3.6%
Georgia,1993,$508.3M,$1.9M,$14.6M,$10.1M,$534.9M,"$8,247.6M","$4,008.7M","$1,962.1M",$496.2M,"$14,714.6M",6.2%,0.0%,0.7%,2.0%,3.6%
Georgia,1994,$572.8M,$2.4M,$7.3M,$26.5M,$609.0M,"$8,857.9M","$4,617.6M","$2,346.6M",$807.0M,"$16,629.1M",6.5%,0.1%,0.3%,3.3%,3.7%
